Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2019);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
294;17200154705;"European Journal of International Management";journal;"17516757, 17516765";0,753;Q1;22;41;103;2872;305;99;3,38;70,05;United Kingdom;Western Europe;"Inderscience Enterprises Ltd.";"2009-2020";"Business and International Management (Q1); Education (Q1); Organizational Behavior and Human Resource Management (Q2)"
295;12100155706;"Journal of Language, Identity, and Education";journal;"15327701, 15348458";0,753;Q1;18;44;82;2195;146;81;1,79;49,89;United Kingdom;Western Europe;"Routledge";"2010-2020";"Education (Q1); Language and Linguistics (Q1); Linguistics and Language (Q1)"
296;144960;"Education and Training";journal;"00400912";0,752;Q1;62;83;202;5773;589;196;2,62;69,55;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"1959-2020";"Business, Management and Accounting (miscellaneous) (Q1); Education (Q1); Life-span and Life-course Studies (Q2)"
297;21100228541;"International Journal of Child-Computer Interaction";journal;"22128689";0,749;Q1;18;31;71;1870;247;68;3,44;60,32;Netherlands;Western Europe;"Elsevier BV";"2013-2020";"Education (Q1); Human-Computer Interaction (Q1)"
298;5800222015;"Bilingual Research Journal";journal;"15235882, 15235890";0,747;Q1;34;30;102;1595;112;69;1,53;53,17;United States;Northern America;"Routledge";"1992-2006, 2009-2020";"Education (Q1); Language and Linguistics (Q1); Linguistics and Language (Q1)"
299;200147114;"Quality in Higher Education";journal;"14701081, 13538322";0,743;Q1;40;22;62;831;97;53;1,51;37,77;United Kingdom;Western Europe;"Routledge";"1995-2020";"Education (Q1)"
300;19700187622;"Research Papers in Education";journal;"02671522, 14701146";0,741;Q1;40;79;103;5127;187;95;2,31;64,90;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1986-2020";"Education (Q1)"
301;16400154732;"International Journal of Leadership in Education";journal;"13603124, 14645092";0,740;Q1;34;110;143;7107;246;107;2,16;64,61;United Kingdom;Western Europe;"Routledge";"1998-2020";"Arts and Humanities (miscellaneous) (Q1); Education (Q1); Strategy and Management (Q2)"
302;21100817620;"Career Development and Transition for Exceptional Individuals";journal;"21651442, 21651434";0,739;Q1;9;33;87;1012;116;74;1,22;30,67;United States;Northern America;"SAGE Publications Inc.";"2015-2020";"Education (Q1); Organizational Behavior and Human Resource Management (Q2)"
303;12073;"International Journal of Educational Research";journal;"08830355";0,737;Q1;58;135;243;7389;545;238;2,37;54,73;United Kingdom;Western Europe;"Elsevier BV";"1986-2020";"Education (Q1)"
304;17127;"Adult Education Quarterly";journal;"07417136, 15523047";0,732;Q1;45;25;49;1326;110;48;1,90;53,04;United Kingdom;Western Europe;"SAGE Publications Ltd";"1950-2020";"Education (Q1); E-learning (Q2)"
305;21100447810;"International Journal for Lesson and Learning Studies";journal;"20468261, 20468253";0,731;Q1;13;37;77;1435;167;74;2,26;38,78;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"2012-2020";"Education (Q1)"
306;100147337;"Journal of Education and Work";journal;"13639080, 14699435";0,731;Q1;32;45;153;2186;265;150;1,35;48,58;United Kingdom;Western Europe;"Brill Academic Publishers";"2005-2020";"Education (Q1); Organizational Behavior and Human Resource Management (Q2); Public Administration (Q2)"
307;14116;"Education and Urban Society";journal;"00131245, 15523535";0,730;Q1;35;81;100;4387;136;95;1,26;54,16;United States;Northern America;"SAGE Publications Inc.";"1968-2020";"Education (Q1); Urban Studies (Q1)"
308;5200152840;"Intellectual and Developmental Disabilities";journal;"19349491, 19349556";0,728;Q1;60;50;124;758;165;118;1,10;15,16;United States;Northern America;"American Association on Intellectual and Developmental Disabilities";"2007-2020";"Community and Home Care (Q1); Education (Q1); Developmental and Educational Psychology (Q2); Pediatrics, Perinatology and Child Health (Q2); Psychiatry and Mental Health (Q2)"
309;19700188306;"Perspectives: Policy and Practice in Higher Education";journal;"13603108, 14607018";0,727;Q1;15;34;65;982;84;52;1,53;28,88;United States;Northern America;"Routledge";"1997-2020";"Education (Q1)"
310;16400154731;"School Leadership and Management";journal;"13632434, 13642626";0,727;Q1;42;37;91;1855;156;80;2,29;50,14;United Kingdom;Western Europe;"Brill Academic Publishers";"1996-2020";"Arts and Humanities (miscellaneous) (Q1); Education (Q1); Strategy and Management (Q2)"
311;21100900059;"Teaching and Learning Inquiry";journal;"21674787";0,724;Q1;10;25;79;856;98;65;1,15;34,24;Canada;Northern America;"University of Calgary Press";"2013-2019";"Education (Q1)"
312;19444;"American Journal of Pharmaceutical Education";journal;"15536467, 00029459";0,723;Q1;58;260;563;6954;1141;447;2,34;26,75;United States;Northern America;"American Association of Colleges of Pharmacy";"1945-1948, 1973-1989, 1991, 1996-2020";"Education (Q1); Pharmacology, Toxicology and Pharmaceutics (miscellaneous) (Q1); Pharmacy (Q1); Medicine (miscellaneous) (Q2)"
313;21100784258;"ACM-ICN 2016 - Proceedings of the 2016 3rd ACM Conference on Information-Centric Networking";conference and proceedings;"-";0,722;-;11;0;46;0;133;44;0,00;0,00;United States;Northern America;"";"";"Education; Engineering (miscellaneous)"
314;5700162170;"Journal of Hispanic Higher Education";journal;"15381927";0,719;Q2;30;53;73;2169;100;57;1,79;40,92;United States;Northern America;"SAGE Publications Inc.";"2002-2020";"Education (Q2)"
315;21100863103;"European Journal of Higher Education";journal;"21568235, 21568243";0,709;Q2;13;31;89;1556;167;80;1,70;50,19;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2011-2020";"Education (Q2)"
316;22110;"Journal for the Education of the Gifted";journal;"21629501, 01623532";0,707;Q2;31;16;55;969;78;50;1,59;60,56;United States;Northern America;"SAGE Publications Inc.";"1987-2020";"Education (Q2)"
317;21100199856;"Journal of Information Technology Education:Research";journal;"15393585, 15479714";0,707;Q2;17;13;73;753;140;73;1,64;57,92;United States;Northern America;"Informing Science Institute";"2011-2019";"Computer Science (miscellaneous) (Q1); Education (Q2); E-learning (Q2)"
318;11300153314;"European Journal of Engineering Education";journal;"03043797, 14695898";0,702;Q2;41;90;208;4694;478;199;2,36;52,16;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1975-2020";"Engineering (miscellaneous) (Q1); Education (Q2)"
319;21100800625;"8th IEEE International Workshop on Information Forensics and Security, WIFS 2016";conference and proceedings;"-";0,697;-;9;0;33;0;152;32;4,75;0,00;United States;Northern America;"";"";"Computer Science (miscellaneous); Education; Sociology and Political Science"
320;21100206602;"Learning, Culture and Social Interaction";journal;"2210657X, 22106561";0,697;Q2;17;105;126;5213;250;106;1,91;49,65;Netherlands;Western Europe;"Elsevier BV";"2012-2020";"Education (Q2)"
321;4700152782;"College and Undergraduate Libraries";journal;"10691316, 15452530";0,696;Q2;18;20;108;395;95;103;0,87;19,75;United States;Northern America;"Routledge";"1994-2004, 2006-2020";"Library and Information Sciences (Q1); Education (Q2); E-learning (Q2)"
322;145159;"Journal of Deaf Studies and Deaf Education";journal;"14657325, 10814159";0,694;Q2;55;39;112;1597;226;109;1,69;40,95;United Kingdom;Western Europe;"Oxford University Press";"2004-2020";"Education (Q2); Speech and Hearing (Q2)"
323;21100817120;"2017 IEEE International Conference on Pervasive Computing and Communications, PerCom 2017";conference and proceedings;"-";0,691;-;11;0;33;0;130;32;4,06;0,00;United States;Northern America;"";"";"Communication; Computer Networks and Communications; Education; Human-Computer Interaction; Information Systems; Information Systems and Management"
324;29543;"Australian Journal of Education";journal;"00049441, 20505884";0,691;Q2;33;21;63;1118;104;52;1,39;53,24;United States;Northern America;"SAGE Publications Inc.";"1992-2020";"Education (Q2)"
325;21100899309;"Research and Practice in Technology Enhanced Learning";journal;"17937078";0,691;Q2;11;26;67;1200;194;65;2,78;46,15;Singapore;Asiatic Region;"Springer Open";"2015-2020";"Media Technology (Q1); Education (Q2); Management of Technology and Innovation (Q2); Social Psychology (Q2)"
326;21100197942;"Periodico Tche Quimica";journal;"18060374, 21790302";0,689;Q2;11;265;230;8777;567;229;2,42;33,12;Brazil;Latin America;"Tche Quimica Group";"2011-2019";"Multidisciplinary (Q1); Pharmacy (Q1); Chemistry (miscellaneous) (Q2); Education (Q2)"
327;21100810716;"South African Journal of Chemical Engineering";journal;"10269185";0,687;Q2;11;21;85;872;338;82;4,39;41,52;Netherlands;Western Europe;"Elsevier BV";"2016-2020";"Fluid Flow and Transfer Processes (Q1); Education (Q2); Energy (miscellaneous) (Q2); Filtration and Separation (Q2); Process Chemistry and Technology (Q2); Catalysis (Q3)"
328;300147008;"European Journal of Cultural Studies";journal;"13675494";0,684;Q2;42;87;148;4402;244;132;1,85;50,60;United Kingdom;Western Europe;"SAGE Publications Ltd";"1998-2020";"Arts and Humanities (miscellaneous) (Q1); Cultural Studies (Q1); Education (Q2)"
329;19700190344;"Early Years";journal;"14724421, 09575146";0,678;Q2;27;52;135;2185;152;83;1,24;42,02;United States;Northern America;"Routledge";"1980-2020";"Developmental and Educational Psychology (Q2); Education (Q2)"
330;12833;"Journal of Psychoeducational Assessment";journal;"15575144, 07342829";0,678;Q2;43;110;196;4371;347;190;1,52;39,74;United States;Northern America;"SAGE Publications Inc.";"1983-2020";"Clinical Psychology (Q2); Education (Q2); Psychology (miscellaneous) (Q2)"
331;19700183047;"ACM Transactions on Computing Education";journal;"19466226";0,676;Q2;28;45;65;2645;250;63;4,50;58,78;United States;Northern America;"Association for Computing Machinery (ACM)";"2010-2020";"Computer Science (miscellaneous) (Q1); Education (Q2)"
332;21100217634;"Journal of Empirical Legal Studies";journal;"17401453, 17401461";0,676;Q2;20;31;87;1337;96;84;0,95;43,13;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"2011-2020";"Law (Q1); Education (Q2)"
333;21100938252;"Journal of Women and Gender in Higher Education";journal;"26379112, 26379120";0,676;Q2;7;22;51;1207;57;50;1,08;54,86;United States;Northern America;"Taylor and Francis Inc.";"2019-2020";"Gender Studies (Q1); Education (Q2)"
334;14030;"Psychology in the Schools";journal;"00333085, 15206807";0,676;Q2;71;101;257;5897;436;250;1,53;58,39;United States;Northern America;"Wiley-Liss Inc.";"1964-2020";"Developmental and Educational Psychology (Q2); Education (Q2)"
335;19600166324;"International Journal of Early Childhood";journal;"18784658, 00207187";0,675;Q2;18;26;72;903;113;69;1,25;34,73;Netherlands;Western Europe;"Springer Netherlands";"1969-2020";"Developmental and Educational Psychology (Q2); Education (Q2)"
336;12100156320;"Mind, Brain, and Education";journal;"17512271, 1751228X";0,673;Q2;32;35;69;1842;129;58;1,36;52,63;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"2008-2020";"Developmental and Educational Psychology (Q2); Education (Q2); Cognitive Neuroscience (Q3); Experimental and Cognitive Psychology (Q3)"
337;145516;"Language, Culture and Curriculum";journal;"07908318";0,668;Q2;30;39;57;1654;84;54;1,41;42,41;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1988-2020";"Language and Linguistics (Q1); Linguistics and Language (Q1); Education (Q2)"
338;15320;"Teaching of Psychology";journal;"00986283, 15328023";0,667;Q2;43;46;149;1437;241;147;1,21;31,24;United States;Northern America;"SAGE Publications Inc.";"1975-2020";"Education (Q2); Psychology (miscellaneous) (Q2)"
339;21100446523;"International Journal of Mentoring and Coaching in Education";journal;"20466862, 20466854";0,666;Q2;15;33;68;1794;137;66;2,09;54,36;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"2012-2020";"Education (Q2); Life-span and Life-course Studies (Q2)"
340;16723;"Journal of Intellectual and Developmental Disability";journal;"13668250, 14699532";0,665;Q2;52;69;128;2652;223;124;1,47;38,43;United Kingdom;Western Europe;"Informa Healthcare";"1970-2013, 2017-2020";"Arts and Humanities (miscellaneous) (Q1); Education (Q2); Medicine (miscellaneous) (Q2); Psychology (miscellaneous) (Q2)"
341;14193;"Education Policy Analysis Archives";journal;"10682341";0,663;Q2;44;152;418;8899;410;418;0,77;58,55;United States;Northern America;"Arizona State University";"1996-2020";"Education (Q2)"
342;5700185131;"Journal of Management Education";journal;"10525629, 15526658";0,663;Q2;44;44;143;1420;194;118;1,50;32,27;United States;Northern America;"SAGE Publications Inc.";"1975-1984, 1986-2020";"Business, Management and Accounting (miscellaneous) (Q1); Education (Q2)"
343;21367;"Innovations in Education and Teaching International";journal;"14703297, 14703300";0,661;Q2;48;107;214;3179;365;190;1,66;29,71;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1996-2020";"Education (Q2)"
344;30064;"Journal of Psychology: Interdisciplinary and Applied";journal;"19401019, 00223980";0,660;Q2;58;49;140;2862;335;135;2,05;58,41;United States;Northern America;"Routledge";"1936-1959, 1962-2020";"Business, Management and Accounting (miscellaneous) (Q1); Education (Q2); Psychology (miscellaneous) (Q2)"
345;200147113;"Teaching Education";journal;"14701286, 10476210";0,660;Q2;30;34;99;1981;101;82;1,02;58,26;United Kingdom;Western Europe;"Routledge";"1987-1988, 1990-1995, 1998, 2000-2001, 2003-2020";"Education (Q2)"
346;23164;"School Psychology International";journal;"14617374, 01430343";0,657;Q2;54;35;106;1806;215;105;1,97;51,60;United Kingdom;Western Europe;"SAGE Publications Ltd";"1979-2020";"Developmental and Educational Psychology (Q2); Education (Q2); Psychiatry and Mental Health (Q2)"
347;17900156720;"European Early Childhood Education Research Journal";journal;"1350293X, 17521807";0,656;Q2;30;67;201;2936;290;182;1,35;43,82;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1993-1995, 1999, 2002-2003, 2007-2020";"Developmental and Educational Psychology (Q2); Education (Q2)"
348;5800179611;"Teacher Development";journal;"13664530, 17475120";0,656;Q2;24;34;117;1583;141;117;0,96;46,56;United Kingdom;Western Europe;"Routledge";"1997-2020";"Education (Q2)"
349;19700200807;"Research in Science and Technological Education";journal;"14701138, 02635143";0,655;Q2;31;52;77;2779;128;74;1,81;53,44;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1983-2020";"Multidisciplinary (Q1); Education (Q2)"
350;19700169951;"International Journal of Testing";journal;"15305058, 15327574";0,653;Q2;17;22;52;820;91;50;2,00;37,27;United Kingdom;Western Europe;"Routledge";"2010-2020";"Education (Q2); Modeling and Simulation (Q2); Social Psychology (Q2)"
351;15700154701;"Vocations and Learning";journal;"1874785X, 18747868";0,653;Q2;22;36;60;1964;131;58;2,05;54,56;Netherlands;Western Europe;"Springer Netherlands";"2009-2020";"Education (Q2)"
352;12308;"Journal of Social Work Education";journal;"10437797, 21635811";0,652;Q2;54;155;224;6677;351;200;1,35;43,08;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1985-2020";"Social Sciences (miscellaneous) (Q1); Education (Q2); Social Work (Q2)"
353;19700187628;"Teacher Educator";journal;"08878730, 19388101";0,652;Q2;18;25;72;1271;63;69;0,98;50,84;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1971-2020";"Education (Q2)"
354;12691;"Merrill-Palmer Quarterly";journal;"0272930X, 15350266";0,650;Q2;68;10;60;620;85;58;0,98;62,00;United States;Northern America;"Wayne State University Press";"1973, 1996-2019";"Social Sciences (miscellaneous) (Q1); Developmental and Educational Psychology (Q2); Education (Q2)"
355;21100915697;"Journal of Special Education Technology";journal;"23813121, 01626434";0,647;Q2;32;34;67;1533;111;63;1,84;45,09;United States;Northern America;"SAGE Publications Inc.";"1996-2020";"Computer Science Applications (Q2); Education (Q2)"
356;14036;"Theory into Practice";journal;"00405841, 15430421";0,647;Q2;56;41;124;1280;210;119;1,33;31,22;United States;Northern America;"Routledge";"1962-2020";"Education (Q2)"
357;15900154722;"Journal of LGBT Youth";journal;"19361661, 19361653";0,645;Q2;30;39;69;2261;138;69;1,85;57,97;United States;Northern America;"Routledge";"2007-2020";"Gender Studies (Q1); Education (Q2)"
358;145221;"Educational Assessment";journal;"10627197, 15326977";0,643;Q2;26;17;49;912;80;48;1,28;53,65;United States;Northern America;"Routledge";"1993-1995, 2004-2020";"Education (Q2)"
359;21100794697;"Journal of Spanish Language Teaching";journal;"23247800, 23247797";0,642;Q2;5;16;37;769;32;34;1,26;48,06;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2014-2019";"Language and Linguistics (Q1); Linguistics and Language (Q1); Education (Q2)"
360;12373;"Journal of Computer Information Systems";journal;"08874417";0,637;Q2;58;78;141;4557;333;110;3,39;58,42;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1995-2020";"Computer Networks and Communications (Q2); Education (Q2); Information Systems (Q2)"
361;22015;"Child Language Teaching and Therapy";journal;"02656590, 14770865";0,636;Q2;31;15;65;691;116;63;1,40;46,07;United Kingdom;Western Europe;"SAGE Publications Ltd";"1985-2020";"Language and Linguistics (Q1); Linguistics and Language (Q1); Clinical Psychology (Q2); Education (Q2); Speech and Hearing (Q2); Developmental and Educational Psychology (Q3)"
362;19900191857;"Education and Training in Autism and Developmental Disabilities";journal;"21541647";0,636;Q2;46;32;91;1160;115;91;0,95;36,25;United States;Northern America;"Council for Exceptional Children";"2010-2012, 2014-2020";"Education (Q2); Developmental and Educational Psychology (Q3)"
363;5700154766;"International Journal of Early Years Education";journal;"09669760";0,636;Q2;28;38;96;1566;137;80;1,28;41,21;United Kingdom;Western Europe;"Routledge";"1993-2020";"Education (Q2); Developmental and Educational Psychology (Q3)"
364;144819;"International Journal of Sustainability in Higher Education";journal;"14676370";0,635;Q2;55;80;188;4168;502;186;2,44;52,10;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"2000-2020";"Education (Q2); Human Factors and Ergonomics (Q2)"
365;14000156188;"Innovation in Language Learning and Teaching";journal;"17501237, 17501229";0,634;Q2;14;52;74;2395;93;67;1,38;46,06;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2009-2020";"Language and Linguistics (Q1); Linguistics and Language (Q1); Education (Q2)"
366;5700164250;"Pedagogy, Culture and Society";journal;"14681366";0,632;Q2;34;68;129;3571;170;115;1,50;52,51;United Kingdom;Western Europe;"Routledge";"1999-2020";"Cultural Studies (Q1); Education (Q2)"
367;19400156819;"Educacion XX1";journal;"1139613X";0,631;Q2;15;15;120;742;187;120;1,52;49,47;Spain;Western Europe;"Universidad Nacional de Educacion a Distancia, UNED";"2008-2020";"Education (Q2)"
368;100147319;"International Journal of Mathematical Education in Science and Technology";journal;"14645211, 0020739X";0,630;Q2;30;148;285;5301;300;188;1,82;35,82;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1970-2020";"Applied Mathematics (Q2); Education (Q2); Mathematics (miscellaneous) (Q2)"
369;21100817105;"2017 IEEE International Conference on Pervasive Computing and Communications Workshops, PerCom Workshops 2017";conference and proceedings;"-";0,629;-;8;0;102;0;392;85;4,61;0,00;United States;Northern America;"";"";"Computer Networks and Communications; Computer Science (miscellaneous); Education; Information Systems; Software"
370;12789;"Journal of Creative Behavior";journal;"21626057, 00220175";0,628;Q2;50;89;124;4710;224;86;2,75;52,92;United States;Northern America;"Wiley-Blackwell";"1967-2020";"Visual Arts and Performing Arts (Q1); Education (Q2); Developmental and Educational Psychology (Q3)"
371;22109;"Intervention in School and Clinic";journal;"10534512, 15384810";0,627;Q2;29;52;133;1526;163;121;1,19;29,35;United States;Northern America;"SAGE Publications Ltd";"1965-2020";"Clinical Psychology (Q2); Education (Q2); Developmental and Educational Psychology (Q3)"
372;18798;"Higher Education Policy";journal;"09528733, 17403863";0,625;Q2;38;72;106;3609;185;86;2,22;50,13;United Kingdom;Western Europe;"Palgrave Macmillan Ltd.";"1996-2020";"Sociology and Political Science (Q1); Education (Q2)"
373;100147349;"Studies in Continuing Education";journal;"0158037X, 1470126X";0,625;Q2;30;37;67;1805;101;65;1,50;48,78;United Kingdom;Western Europe;"Routledge";"1978-1982, 1988-2020";"Education (Q2)"
374;15564;"Journal of Language and Social Psychology";journal;"15526526, 0261927X";0,621;Q2;48;44;99;2087;169;98;1,71;47,43;United States;Northern America;"SAGE Publications Inc.";"1982-2020";"Anthropology (Q1); Language and Linguistics (Q1); Linguistics and Language (Q1); Sociology and Political Science (Q1); Education (Q2); Social Psychology (Q2)"
375;17800156703;"Journal of Empirical Research on Human Research Ethics";journal;"15562646, 15562654";0,616;Q2;26;79;147;2176;203;136;1,29;27,54;United States;Northern America;"SAGE Publications Inc.";"2009-2020";"Communication (Q1); Law (Q1); Education (Q2); Medicine (miscellaneous) (Q2); Social Psychology (Q2)"
376;28812;"Nurse Educator";journal;"15389855, 03633624";0,616;Q2;38;154;341;2019;356;310;1,08;13,11;United States;Northern America;"Lippincott Williams and Wilkins Ltd.";"1976-2020";"Fundamentals and Skills (Q1); LPN and LVN (Q1); Nursing (miscellaneous) (Q1); Review and Exam Preparation (Q1); Education (Q2)"
377;4700152622;"TechTrends";journal;"87563894";0,613;Q2;33;108;305;2869;475;268;1,54;26,56;United States;Northern America;"Springer New York";"1982, 1985-1996, 2000, 2006-2020";"Computer Science Applications (Q2); Education (Q2)"
378;19700188253;"Journal of Further and Higher Education";journal;"14699486, 0309877X";0,610;Q2;38;173;192;8748;351;186;1,77;50,57;United States;Northern America;"Routledge";"1977-2020";"Education (Q2)"
379;19700201439;"Studying Teacher Education";journal;"17425972, 17425964";0,610;Q2;14;23;71;936;62;58;0,93;40,70;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2010-2020";"Education (Q2)"
380;19491;"Journal of Higher Education Policy and Management";journal;"14699508, 1360080X";0,609;Q2;39;64;148;2908;216;126;1,40;45,44;United Kingdom;Western Europe;"Routledge";"2003-2020";"Education (Q2); Public Administration (Q2)"
381;15879;"Journal of Continuing Education in the Health Professions";journal;"08941912, 1554558X";0,608;Q2;53;44;156;888;203;143;1,45;20,18;United States;Northern America;"John Wiley and Sons Inc.";"1988-2020";"Education (Q2); E-learning (Q2); Medicine (miscellaneous) (Q2)"
382;18735;"Accountability in Research";journal;"15455815, 08989621";0,607;Q2;26;33;90;1222;114;65;1,64;37,03;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1989-2020";"Library and Information Sciences (Q1); Education (Q2); Medicine (miscellaneous) (Q2)"
383;21100786523;"International Conference on Information and Knowledge Management, Proceedings";conference and proceedings;"-";0,606;-;20;0;321;0;1059;317;0,00;0,00;United States;Northern America;"";"";"Education; Industrial and Manufacturing Engineering"
384;70505;"Journal of Nursing Education";journal;"01484834";0,606;Q2;61;168;476;2873;510;375;1,20;17,10;United States;Northern America;"Slack Incorporated";"1965-2020";"Nursing (miscellaneous) (Q1); Education (Q2)"
385;145257;"Journal of Technology Education";journal;"10451064";0,605;Q2;18;9;29;368;38;29;1,00;40,89;United States;Northern America;"Virginia Polytechnic Institute";"2002-2019";"Engineering (miscellaneous) (Q1); Education (Q2)"
386;21100886153;"Journal of Advanced Academics";journal;"21629536, 1932202X";0,603;Q2;26;22;54;1156;69;47;1,92;52,55;United States;Northern America;"SAGE Publications Ltd";"2006-2020";"Education (Q2)"
387;4000151613;"Journal of College Student Retention: Research, Theory and Practice";journal;"15414167, 15210251";0,600;Q2;24;64;100;3023;154;73;1,82;47,23;United States;Northern America;"SAGE Publications Inc.";"2005-2020";"Education (Q2)"
388;29615;"Health Education Research";journal;"14653648, 02681153";0,599;Q2;99;50;163;2045;250;157;1,24;40,90;United Kingdom;Western Europe;"Oxford University Press";"1986-2020";"Education (Q2); Public Health, Environmental and Occupational Health (Q2)"
389;11700154725;"Education for Chemical Engineers";journal;"17497728";0,597;Q2;18;42;70;1098;166;67;2,36;26,14;Netherlands;Western Europe;"Elsevier";"2006-2020";"Chemical Engineering (miscellaneous) (Q1); Education (Q2)"
390;19900192117;"Journal of Adventure Education and Outdoor Learning";journal;"17540402, 14729679";0,596;Q2;18;47;83;2673;158;75;1,94;56,87;United Kingdom;Western Europe;"Routledge";"2010-2020";"Education (Q2); Physical Therapy, Sports Therapy and Rehabilitation (Q2)"
391;20322;"Journal of Adolescent and Adult Literacy";journal;"10813004";0,592;Q2;45;102;281;2278;260;237;1,12;22,33;United States;Northern America;"Wiley-Blackwell";"1995-2020";"Education (Q2)"
392;19700188305;"Journal of Agricultural Education and Extension";journal;"1389224X, 17508622";0,592;Q2;22;34;96;1512;158;75;1,92;44,47;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2010-2020";"Agricultural and Biological Sciences (miscellaneous) (Q1); Education (Q2); Geography, Planning and Development (Q2)"
393;21100792096;"CAN 2016 - Proceedings of the 2016 ACM Workshop on Cloud-Assisted Networking, co-located with CoNEXT 2016";conference and proceedings;"-";0,591;-;5;0;14;0;33;12;0,00;0,00;United States;Northern America;"";"";"Computer Networks and Communications; Education"
394;24606;"Anthrozoos";journal;"08927936";0,590;Q2;48;54;134;2715;273;133;1,57;50,28;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1990, 1992-1993, 1996-2020";"Anthropology (Q1); Sociology and Political Science (Q1); Veterinary (miscellaneous) (Q1); Animal Science and Zoology (Q2); Education (Q2)"
395;21100780992;"GMS Journal for Medical Education";journal;"23665017";0,589;Q2;16;82;215;2288;256;188;1,36;27,90;Germany;Western Europe;"German Medical Science";"2016-2020";"Education (Q2); Medicine (miscellaneous) (Q2)"
396;12100155734;"Ethnography and Education";journal;"17457823, 17457831";0,588;Q2;15;33;91;1455;120;78;1,45;44,09;United Kingdom;Western Europe;"Routledge";"2010-2020";"Cultural Studies (Q1); Education (Q2); Gender Studies (Q2)"
397;24827;"Journal of Philosophy of Education";journal;"14679752, 03098249";0,588;Q2;38;56;159;1800;143;143;0,99;32,14;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1967-2020";"History (Q1); Philosophy (Q1); Education (Q2)"
398;17700156748;"Journal of Turkish Science Education";journal;"13046020";0,588;Q2;14;12;98;636;157;95;1,39;53,00;Turkey;Middle East;"Ekip Buro Makineleri A.S.";"2009-2019";"Applied Psychology (Q2); Education (Q2)"
399;144967;"Early Childhood Education Journal";journal;"15731707, 10823301";0,585;Q2;38;79;219;3729;365;218;1,68;47,20;Netherlands;Western Europe;"Springer Netherlands";"1995-2002, 2005-2020";"Education (Q2); Developmental and Educational Psychology (Q3)"
400;5800179626;"Reading and Writing Quarterly";journal;"15210693, 10573569";0,583;Q2;37;58;101;3235;138;99;1,09;55,78;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1992-2020";"Linguistics and Language (Q1); Education (Q2)"
401;18317;"Journal of Veterinary Medical Education";journal;"0748321X";0,579;Q2;33;62;188;2124;251;179;1,41;34,26;Canada;Northern America;"University of Toronto Press";"1996-1998, 2000-2020";"Veterinary (miscellaneous) (Q1); Education (Q2); Medicine (miscellaneous) (Q2)"
402;18402;"Medicine, Health Care and Philosophy";journal;"15728633, 13867423";0,577;Q2;39;76;182;3321;310;165;1,86;43,70;Netherlands;Western Europe;"Springer Netherlands";"1998-2020";"Education (Q2); Health Policy (Q2); Health (social science) (Q2)"
403;17600155005;"Literacy Research and Instruction";journal;"19388071, 19388063";0,575;Q2;24;17;63;918;59;53;0,68;54,00;United Kingdom;Western Europe;"Routledge";"2008-2020";"Linguistics and Language (Q1); Education (Q2)"
404;29275;"Journal of Geography in Higher Education";journal;"03098265, 14661845";0,574;Q2;45;48;123;2592;257;114;2,19;54,00;United Kingdom;Western Europe;"Routledge";"1977-2020";"Education (Q2); Geography, Planning and Development (Q2)"
405;144658;"Quality Assurance in Education";journal;"09684883";0,574;Q2;47;35;98;1764;230;95;1,42;50,40;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"1993-2020";"Education (Q2)"
406;24472;"Children and Society";journal;"09510605, 10990860";0,573;Q2;54;48;128;2238;198;126;1,50;46,63;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1987-2020";"Education (Q2); Health (social science) (Q2); Life-span and Life-course Studies (Q2); Social Work (Q2)"
